"State","County","fips","ifr_OR"
"California","Calaveras","06009",1.1031586850552
"California","Colusa","06011",1.15063631024304
"California","Contra Costa","06013",0.940026381216678
"California","Del Norte","06015",1.19651968788192
"California","El Dorado","06017",1.03431734422642
"California","Fresno","06019",1.14419641697367
"California","Glenn","06021",1.13365385652734
"California","Humboldt","06023",0.995204686350551
"California","Imperial","06025",1.28292133851318
"California","Inyo","06027",1.1380063170629
"California","Kern","06029",1.27842148983892
"California","Kings","06031",1.1862562527669
"California","Lake","06033",1.2054877976046
"California","Lassen","06035",1.08559300913561
"California","Los Angeles","06037",1.01389994047623
"California","Madera","06039",1.26348940697624
"California","Marin","06041",0.826735012371282
"California","Mariposa","06043",1.08323928861056
"California","Mendocino","06045",1.08904057816904
"California","Merced","06047",1.2962858508059
"California","Modoc","06049",1.22729797510059
"California","Mono","06051",0.995614111418636
"California","Monterey","06053",1.03180828856303
"California","Napa","06055",0.966689972859974
"California","Nevada","06057",1.01635614294366
"California","Orange","06059",0.89234426869522
"California","Placer","06061",0.839679588495443
"California","Plumas","06063",1.0415404242788
"California","Riverside","06065",1.0656876192696
"California","Sacramento","06067",1.03190142519402
"California","San Benito","06069",1.01881844319565
"California","San Bernardino","06071",1.26508288757984
"California","San Diego","06073",0.951111704647747
"California","San Francisco","06075",0.666071843419604
"California","San Joaquin","06077",1.21119419337254
"California","San Luis Obispo","06079",1.04754717386297
"California","San Mateo","06081",0.914662366136526
"California","Santa Barbara","06083",0.879625145338091
"California","Santa Clara","06085",0.786337657154244
"California","Santa Cruz","06087",0.792893649580089
"California","Shasta","06089",1.02712246683712
"California","Sierra","06091",1.15613573210952
"California","Siskiyou","06093",1.13687950511442
"California","Solano","06095",1.00660110621444
"California","Sonoma","06097",0.960165279988541
"California","Stanislaus","06099",1.13918932118742
"California","Sutter","06101",1.14170269509779
"California","Tehama","06103",1.30550366837086
"California","Trinity","06105",1.24252205896403
"California","Tulare","06107",1.19698223760009
"California","Tuolumne","06109",1.04587547002487
"California","Ventura","06111",0.939739801237398
"California","Yolo","06113",0.905240434249167
"California","Yuba","06115",1.09424235845354
"Colorado","Adams","08001",1.17528292768296
"Colorado","Alamosa","08003",1.17853725685393
"Colorado","Arapahoe","08005",1.01227298158131
