location,cum_p_inf_init,start_p_imm
48029,0.6619906774154201,0.2189172914604529
48413,0.5657019456891932,0.17861709180058083
51730,0.540036492434547,0.13466113815113157
56025,0.6729704546742967,0.22717361902670596
01131,0.6109769571370979,0.21395636290771655
08035,0.49591833781425326,0.2586265466626293
13137,0.7464137008784516,0.22781763056801732
17103,0.4908921266374213,0.21491500163611377
19095,0.5368922320290105,0.24428733036069572
21067,0.6190562794466463,0.24788859796778195
24510,0.5103044448454108,0.217653372162226
28015,0.6541102668054696,0.1779409486026339
30001,0.6203911959219998,0.2454183204761358
31083,0.28585199547268275,0.19597483616461409
35006,0.7982227426852914,0.24974612396236665
37197,0.5570189783389754,0.16355503097641125
40097,0.6282815013600638,0.19969228129439515
46017,0.6271969608878633,0.17585486174089196
48075,0.664371739286351,0.19713804896297632
48459,0.7030742259121068,0.1950441739896301
53021,0.6528136659648043,0.19050486687929777
01067,0.7359912083431424,0.20307210598532596
06087,0.38938197071159986,0.21180558788705428
13073,0.6129555266222924,0.20814455849876784
17039,0.5168919027981628,0.20099233978129996
19031,0.43350804491631684,0.23309283463655567
21003,0.6391963555300969,0.1975628887116617
23015,0.21014917432421298,0.2540713368225933
27125,0.5481546475509557,0.21928262611475335
29167,0.47567628644519677,0.175377150580045
33005,0.2982404356230566,0.15793578270206807
37133,0.650854276456528,0.1771766661412261
40033,0.6532540504014284,0.21146961447893908
45043,0.5681458380848156,0.21886630263352655
48011,0.5888660094494833,0.17755390638076482
48395,0.681029662202365,0.18376247682720945
51670,0.5845016215897879,0.1266161805997024
56007,0.6898141605554892,0.2212510090626769
01025,0.67244866004829,0.20854600424312453
06045,0.45311785872746047,0.22131662818847203
13029,0.6290248551741442,0.2059675361813403
16085,0.453550785579175,0.24293713950775653
18173,0.6252717581968398,0.2268809581448616
20171,0.7185482032832352,0.20672192635786085
22101,0.7206124319073489,0.20051027354257328
27083,0.6043809968074747,0.22599688783660404
29125,0.46069729256831216,0.17270255993971623
31179,0.49242311709332665,0.20406588245486845
37091,0.5180128284403709,0.13870696967748453
39167,0.52623333937035,0.21060535350735776
45001,0.5193239802149764,0.187867547986546
47159,0.6185741799557761,0.17943442918971117
48353,0.7582045191385701,0.2162013731819412
51191,0.5445408424068577,0.2014511286484909
55107,0.5239034500265398,0.21332634397661543
02130,0.5525934850862722,0.2418048342845508
08063,0.5590100839694294,0.20261438914993823
13161,0.6748368482015256,0.20643821057398204
17127,0.6541100567178855,0.18449307396367495
19119,0.6149726185038941,0.1975309575824446
21091,0.552158257752803,0.23170907340471852
25027,0.45982382770501157,0.22237203193451993
28039,0.6989382576972434,0.1761786552830945
30025,0.6375530698505198,0.22103452380225375
35028,0.25082988892213964,0.25527181155800616
38021,0.7686651206581199,0.2595486425766409
